N1,N2,N3,N4,N5,Star1,Star2,Probability
1,24,26,30,48,3,6,0.000200
13,23,26,48,49,8,9,0.000200
15,17,20,30,48,5,9,0.000200
6,15,16,17,36,9,10,0.000200
4,10,19,24,40,2,3,0.000200
14,16,32,44,47,7,8,0.000200
20,23,26,31,34,4,6,0.000200
6,9,15,30,31,7,9,0.000200
2,19,21,42,47,11,12,0.000200
20,29,30,37,47,2,5,0.000200
7,12,23,44,47,3,7,0.000200
2,7,18,33,37,4,6,0.000200
9,17,28,38,39,5,9,0.000200
2,4,15,17,33,7,11,0.000200
1,21,23,24,42,9,11,0.000200
18,20,30,34,44,2,5,0.000200
19,27,33,36,47,6,11,0.000200
9,10,18,29,34,4,7,0.000200
6,15,18,27,29,2,3,0.000200
10,19,22,38,39,10,12,0.000200
13,26,33,38,39,4,8,0.000200
10,16,19,35,50,1,9,0.000200
14,18,35,36,46,3,8,0.000200
12,21,40,45,50,7,9,0.000200
3,4,27,30,45,2,8,0.000200
2,31,32,35,38,1,4,0.000200
7,26,27,30,49,2,8,0.000200
10,21,27,38,40,5,8,0.000200
5,13,21,43,48,6,12,0.000200
22,24,30,38,44,10,11,0.000200
2,13,15,20,46,5,6,0.000200
5,12,30,31,32,8,9,0.000200
13,17,35,38,39,2,5,0.000200
13,30,40,43,45,3,4,0.000200
1,13,25,27,43,3,6,0.000200
10,22,24,25,41,7,10,0.000200
25,28,30,31,44,2,3,0.000200
3,9,12,22,31,3,10,0.000200
13,26,36,40,42,2,3,0.000200
20,41,42,45,48,7,12,0.000200
1,17,20,27,37,6,10,0.000200
8,19,23,29,43,1,6,0.000200
1,14,29,32,48,6,8,0.000200
27,32,36,41,48,8,11,0.000200
1,12,22,43,50,1,2,0.000200
11,19,25,37,40,9,12,0.000200
16,18,25,30,43,1,6,0.000200
2,10,15,28,38,10,12,0.000200
5,15,16,29,46,4,9,0.000200
18,21,24,32,42,8,9,0.000200
2,10,20,23,50,5,6,0.000200
3,13,23,36,41,3,8,0.000200
1,11,32,38,50,2,5,0.000200
8,22,28,38,49,1,9,0.000200
1,4,20,37,47,8,9,0.000200
1,2,6,10,47,4,6,0.000200
12,20,27,32,48,7,10,0.000200
2,18,30,46,48,10,11,0.000200
12,17,18,35,36,5,7,0.000200
4,6,20,24,33,2,9,0.000200
6,9,13,16,25,7,9,0.000200
8,21,33,42,46,1,4,0.000200
4,18,26,35,36,3,5,0.000200
1,19,24,28,34,4,8,0.000200
4,7,16,33,38,6,12,0.000200
3,5,25,34,38,2,6,0.000200
7,16,24,30,34,3,5,0.000200
15,17,38,45,50,2,10,0.000200
3,9,19,37,39,1,7,0.000200
3,14,15,40,45,1,8,0.000200
14,15,17,34,40,2,4,0.000200
11,13,18,23,42,5,9,0.000200
11,21,28,38,47,9,10,0.000200
3,5,10,17,44,5,11,0.000200
8,14,16,26,47,5,9,0.000200
2,5,14,34,40,7,11,0.000200
13,20,24,38,48,2,5,0.000200
21,26,35,42,46,1,3,0.000200
4,26,29,30,42,5,12,0.000200
3,13,16,17,35,5,8,0.000200
10,37,39,40,41,7,10,0.000200
7,25,26,32,39,6,9,0.000200
1,12,27,28,36,6,8,0.000200
16,25,27,36,40,3,12,0.000200
9,18,23,26,32,2,7,0.000200
3,23,27,36,40,9,10,0.000200
11,24,26,31,48,2,3,0.000200
10,34,37,38,39,2,9,0.000200
10,13,20,34,50,11,12,0.000200
2,30,37,42,43,2,12,0.000200
16,17,32,34,44,5,6,0.000200
2,12,39,44,48,3,8,0.000200
6,14,25,26,30,2,8,0.000200
11,15,35,42,49,8,10,0.000200
9,22,34,38,45,2,9,0.000200
12,14,23,32,36,3,5,0.000200
9,13,19,31,45,1,3,0.000200
10,21,38,41,47,4,7,0.000200
3,16,29,37,44,4,7,0.000200
3,37,39,43,50,2,5,0.000200
5,20,21,39,44,5,6,0.000200
9,13,17,23,48,5,9,0.000200
11,27,37,42,47,3,4,0.000200
5,31,32,43,48,8,9,0.000200
2,18,29,42,49,3,10,0.000200
9,20,33,48,50,3,10,0.000200
2,9,14,35,50,2,6,0.000200
1,20,28,34,47,7,8,0.000200
26,32,33,39,50,1,4,0.000200
6,18,32,33,35,8,11,0.000200
1,12,25,39,49,2,6,0.000200
9,17,20,27,37,4,11,0.000200
10,12,20,31,42,7,8,0.000200
1,25,43,44,49,5,9,0.000200
2,3,31,32,42,2,10,0.000200
1,23,29,37,45,1,7,0.000200
7,14,39,43,44,8,11,0.000200
10,16,28,44,49,7,9,0.000200
3,18,36,42,49,8,10,0.000200
8,11,21,30,36,8,9,0.000200
13,21,32,46,49,3,8,0.000200
18,25,31,39,44,2,5,0.000200
3,10,11,41,43,5,7,0.000200
14,29,33,43,50,8,11,0.000200
1,2,27,39,44,4,9,0.000200
5,9,20,24,34,4,9,0.000200
4,10,19,23,32,1,12,0.000200
2,11,13,40,44,6,11,0.000200
4,22,26,27,46,3,9,0.000200
7,15,21,27,50,2,3,0.000200
5,17,33,38,50,4,9,0.000200
14,15,37,39,44,7,10,0.000200
3,12,18,22,23,5,6,0.000200
10,12,15,22,27,4,8,0.000200
4,17,32,34,50,9,10,0.000200
24,35,38,41,45,2,10,0.000200
9,30,33,40,47,2,5,0.000200
1,2,3,7,37,3,4,0.000200
9,17,24,32,50,2,3,0.000200
8,9,11,15,46,1,5,0.000200
7,20,30,44,49,1,6,0.000200
14,19,23,36,37,4,9,0.000200
13,25,40,41,49,3,9,0.000200
3,9,15,33,40,2,7,0.000200
1,9,18,31,46,4,7,0.000200
6,8,23,28,37,2,7,0.000200
5,7,10,14,26,2,6,0.000200
18,37,38,44,47,5,7,0.000200
12,20,23,25,29,4,10,0.000200
14,16,21,34,48,5,7,0.000200
4,14,22,25,48,2,3,0.000200
4,6,10,25,26,3,7,0.000200
15,16,25,34,35,2,4,0.000200
11,19,21,24,38,2,10,0.000200
9,10,19,20,22,5,8,0.000200
3,19,20,41,43,6,12,0.000200
14,22,28,37,50,5,8,0.000200
24,36,37,41,44,3,8,0.000200
3,9,17,27,30,2,5,0.000200
1,4,38,46,49,1,12,0.000200
16,34,38,46,50,1,5,0.000200
6,29,36,40,46,3,4,0.000200
2,3,17,22,36,6,7,0.000200
13,14,17,40,49,1,3,0.000200
12,17,36,42,44,8,12,0.000200
11,12,15,19,26,2,10,0.000200
6,12,26,30,47,5,8,0.000200
13,17,35,44,49,6,7,0.000200
23,27,30,31,39,1,3,0.000200
1,16,28,35,45,4,11,0.000200
1,7,10,11,13,6,8,0.000200
1,23,35,40,44,4,6,0.000200
4,11,30,34,40,2,4,0.000200
14,16,22,23,36,6,12,0.000200
2,9,20,22,38,3,12,0.000200
2,26,38,43,50,6,9,0.000200
13,17,40,42,44,2,11,0.000200
7,16,19,29,32,5,6,0.000200
1,5,43,46,50,10,11,0.000200
5,6,11,25,50,7,9,0.000200
9,18,20,32,42,7,11,0.000200
11,34,38,42,50,6,7,0.000200
4,11,12,14,38,5,9,0.000200
2,15,17,34,36,2,9,0.000200
10,17,19,33,45,4,9,0.000200
3,26,28,34,36,1,5,0.000200
1,26,31,37,46,7,10,0.000200
11,19,31,36,47,7,11,0.000200
1,2,16,18,23,4,11,0.000200
3,11,38,47,48,2,5,0.000200
3,18,22,28,39,6,8,0.000200
8,15,17,23,35,6,7,0.000200
17,21,26,33,47,1,2,0.000200
8,12,22,24,33,4,8,0.000200
17,18,27,30,40,2,5,0.000200
2,17,18,24,34,5,9,0.000200
7,23,34,41,42,2,9,0.000200
1,8,10,12,36,5,8,0.000200
14,24,35,45,50,6,8,0.000200
17,23,29,42,49,3,10,0.000200
6,11,33,34,42,1,2,0.000200
1,4,21,29,50,1,11,0.000200
7,22,24,39,40,2,10,0.000200
5,15,16,46,49,4,6,0.000200
4,25,34,36,50,6,10,0.000200
2,3,12,13,44,1,5,0.000200
3,11,25,33,48,2,5,0.000200
3,11,19,35,47,8,9,0.000200
11,26,31,33,43,3,11,0.000200
23,25,37,40,42,3,7,0.000200
3,11,13,45,48,4,8,0.000200
3,11,39,46,49,9,10,0.000200
1,11,27,28,48,5,11,0.000200
10,15,22,23,24,5,9,0.000200
17,22,32,34,38,7,11,0.000200
11,12,31,40,44,2,3,0.000200
11,16,19,22,23,6,10,0.000200
5,6,28,35,42,1,6,0.000200
1,5,8,14,31,4,9,0.000200
11,29,32,44,49,5,8,0.000200
4,23,26,31,47,1,2,0.000200
5,13,31,42,49,7,9,0.000200
18,27,34,48,50,6,9,0.000200
3,9,20,25,46,6,7,0.000200
16,23,36,43,47,2,12,0.000200
5,20,31,37,50,8,9,0.000200
2,4,32,42,48,2,9,0.000200
7,10,12,26,42,2,11,0.000200
3,27,40,44,47,6,7,0.000200
27,40,44,45,50,2,8,0.000200
22,24,35,41,46,1,5,0.000200
10,12,14,23,46,1,7,0.000200
2,21,23,26,32,3,8,0.000200
6,10,14,20,35,1,10,0.000200
10,22,30,40,45,8,9,0.000200
9,16,31,41,48,6,7,0.000200
15,21,23,31,50,6,8,0.000200
11,25,28,34,41,6,10,0.000200
6,9,16,33,36,1,5,0.000200
2,3,11,13,18,9,10,0.000200
6,13,19,30,37,8,10,0.000200
2,7,8,25,42,3,9,0.000200
28,30,40,43,47,5,8,0.000200
1,13,20,38,46,7,10,0.000200
9,12,34,35,50,8,11,0.000200
10,20,24,44,49,5,9,0.000200
10,13,32,46,49,4,6,0.000200
3,5,20,28,43,4,8,0.000200
9,26,28,31,41,3,9,0.000200
3,5,14,23,30,6,12,0.000200
4,23,30,39,47,7,10,0.000200
1,2,19,37,38,6,8,0.000200
5,11,21,30,35,2,10,0.000200
8,15,27,32,36,5,6,0.000200
2,8,21,23,27,3,6,0.000200
15,37,38,43,45,3,11,0.000200
13,14,28,32,41,2,7,0.000200
9,20,23,32,39,3,9,0.000200
10,30,34,38,47,2,4,0.000200
2,3,9,23,27,3,6,0.000200
18,19,30,43,47,9,11,0.000200
7,12,20,44,47,3,7,0.000200
14,17,28,34,47,7,12,0.000200
12,20,24,27,35,10,12,0.000200
15,29,31,37,39,7,8,0.000200
7,31,32,35,39,5,7,0.000200
2,8,14,44,45,2,8,0.000200
15,16,17,26,38,8,9,0.000200
12,15,31,32,48,6,11,0.000200
9,28,34,37,42,1,6,0.000200
9,10,18,19,42,1,9,0.000200
3,12,27,30,31,2,4,0.000200
14,15,17,26,31,2,3,0.000200
7,20,36,46,47,7,9,0.000200
20,22,28,42,43,3,10,0.000200
1,10,26,28,36,5,8,0.000200
16,19,24,26,50,2,6,0.000200
1,13,40,45,50,2,6,0.000200
2,3,10,25,33,1,6,0.000200
4,19,21,22,36,2,4,0.000200
16,17,18,32,39,2,9,0.000200
1,9,26,37,42,1,11,0.000200
11,12,16,27,42,1,2,0.000200
14,23,34,35,46,4,7,0.000200
2,9,11,31,49,2,4,0.000200
1,4,24,33,48,3,10,0.000200
8,21,32,37,40,6,7,0.000200
22,30,33,41,43,2,10,0.000200
18,20,21,23,27,11,12,0.000200
2,3,10,35,40,5,11,0.000200
7,15,27,36,50,3,7,0.000200
6,10,26,34,40,1,4,0.000200
10,17,32,41,47,6,10,0.000200
3,9,11,31,42,5,11,0.000200
4,20,35,38,42,1,7,0.000200
5,9,12,17,47,6,11,0.000200
20,21,26,43,44,1,5,0.000200
7,15,26,34,42,1,6,0.000200
3,16,30,31,38,1,6,0.000200
10,11,14,16,50,10,11,0.000200
4,6,18,38,48,1,10,0.000200
15,19,20,36,41,6,12,0.000200
4,5,9,11,19,4,8,0.000200
1,18,32,36,37,2,3,0.000200
4,11,18,39,46,1,11,0.000200
14,27,28,38,46,6,8,0.000200
2,6,18,26,38,4,8,0.000200
5,7,18,28,33,5,10,0.000200
14,28,36,41,50,8,11,0.000200
4,11,45,49,50,1,8,0.000200
22,24,27,36,46,6,11,0.000200
7,12,26,30,32,2,4,0.000200
5,10,21,34,47,3,7,0.000200
12,13,16,44,46,1,2,0.000200
11,15,20,22,24,6,7,0.000200
1,16,17,24,30,4,10,0.000200
6,8,11,37,41,6,11,0.000200
7,26,41,48,49,1,2,0.000200
20,36,37,46,47,5,8,0.000200
2,17,21,25,40,7,11,0.000200
5,16,23,24,28,5,8,0.000200
15,17,20,22,48,7,10,0.000200
7,25,35,40,50,3,8,0.000200
5,6,10,21,28,8,11,0.000200
8,22,23,24,38,4,5,0.000200
1,12,35,41,49,8,9,0.000200
5,25,27,47,49,2,6,0.000200
16,22,29,34,43,2,7,0.000200
10,28,39,44,47,8,12,0.000200
2,4,20,42,43,2,8,0.000200
5,10,18,46,49,4,7,0.000200
11,13,41,46,50,3,4,0.000200
7,10,14,23,26,1,11,0.000200
9,12,15,30,40,1,3,0.000200
19,23,34,41,46,1,2,0.000200
10,18,22,45,47,6,7,0.000200
2,5,19,32,46,4,5,0.000200
7,11,33,36,43,4,9,0.000200
12,28,29,43,44,8,10,0.000200
18,20,35,42,45,6,7,0.000200
17,26,39,45,49,1,8,0.000200
3,8,15,22,44,1,6,0.000200
6,7,16,26,41,6,8,0.000200
3,4,15,24,45,9,10,0.000200
8,33,40,46,47,5,10,0.000200
4,5,10,20,26,1,6,0.000200
10,12,19,22,30,4,8,0.000200
3,6,7,17,32,5,7,0.000200
2,4,20,35,37,11,12,0.000200
10,11,14,23,30,1,2,0.000200
22,25,29,39,45,1,3,0.000200
10,38,39,46,48,9,12,0.000200
15,17,37,38,43,1,6,0.000200
1,9,25,38,47,2,3,0.000200
22,34,36,44,45,4,11,0.000200
19,23,25,29,44,4,8,0.000200
7,11,13,18,44,1,8,0.000200
4,25,31,37,38,2,7,0.000200
3,11,17,38,43,5,11,0.000200
8,9,28,32,40,1,2,0.000200
3,10,26,38,41,3,8,0.000200
7,8,15,31,48,2,5,0.000200
2,3,13,17,37,5,8,0.000200
13,20,26,27,31,3,10,0.000200
3,12,15,32,34,7,8,0.000200
3,7,9,12,28,4,10,0.000200
4,9,16,21,50,4,10,0.000200
5,23,32,35,48,1,3,0.000200
3,6,8,33,45,7,12,0.000200
10,11,14,26,27,1,5,0.000200
16,17,21,22,32,2,10,0.000200
12,17,19,33,35,6,8,0.000200
7,29,31,34,47,3,10,0.000200
8,17,42,44,45,3,10,0.000200
2,7,27,31,43,2,4,0.000200
8,13,39,40,42,1,6,0.000200
1,17,35,38,43,8,9,0.000200
35,39,40,44,50,3,10,0.000200
3,11,13,27,36,2,4,0.000200
2,6,23,36,48,1,5,0.000200
5,17,32,48,50,1,7,0.000200
8,9,28,36,49,4,10,0.000200
12,16,30,34,45,3,8,0.000200
6,18,22,44,50,4,6,0.000200
7,11,14,29,41,2,9,0.000200
7,8,10,43,44,1,11,0.000200
2,25,28,46,48,4,6,0.000200
1,8,23,29,36,5,11,0.000200
6,9,23,25,46,7,11,0.000200
2,22,33,46,48,1,8,0.000200
6,12,13,21,49,1,7,0.000200
21,36,39,45,50,4,11,0.000200
14,18,24,45,49,7,12,0.000200
6,22,26,34,45,7,8,0.000200
5,10,13,37,49,2,12,0.000200
2,6,31,36,41,8,9,0.000200
10,20,32,37,50,4,9,0.000200
8,10,23,25,49,1,7,0.000200
7,19,21,26,37,5,9,0.000200
5,16,22,33,50,3,8,0.000200
20,25,26,38,49,1,3,0.000200
5,19,20,25,27,1,4,0.000200
9,13,18,47,49,6,8,0.000200
5,9,14,20,23,3,9,0.000200
23,27,39,40,45,1,12,0.000200
4,13,22,44,50,9,10,0.000200
5,9,12,36,40,4,11,0.000200
19,30,44,46,50,6,8,0.000200
4,23,33,40,42,4,6,0.000200
21,32,37,38,43,1,3,0.000200
34,38,39,41,48,6,7,0.000200
10,30,31,36,42,3,10,0.000200
1,16,20,27,29,3,7,0.000200
10,13,27,30,32,3,4,0.000200
3,26,40,41,46,1,3,0.000200
11,30,34,36,45,3,5,0.000200
22,30,32,38,48,6,8,0.000200
3,6,14,33,44,7,8,0.000200
5,16,29,30,38,2,9,0.000200
4,13,21,42,49,1,10,0.000200
13,22,39,40,49,10,12,0.000200
3,4,6,19,44,3,4,0.000200
9,15,16,19,39,1,8,0.000200
1,4,9,19,23,2,4,0.000200
5,10,12,14,48,9,10,0.000200
1,3,24,27,43,1,2,0.000200
16,19,21,29,41,3,8,0.000200
7,12,23,31,34,8,12,0.000200
6,20,37,47,50,5,6,0.000200
11,29,30,31,35,8,12,0.000200
4,18,20,37,49,3,8,0.000200
16,19,28,38,50,1,3,0.000200
14,15,19,27,45,3,5,0.000200
11,21,27,42,46,6,8,0.000200
12,18,20,26,45,5,8,0.000200
10,12,20,21,47,1,8,0.000200
2,26,40,41,49,2,9,0.000200
13,15,23,26,41,5,11,0.000200
4,13,28,37,39,5,8,0.000200
5,14,19,25,30,8,12,0.000200
23,28,36,44,45,1,8,0.000200
9,12,14,15,38,3,6,0.000200
2,4,6,33,37,3,4,0.000200
3,4,7,21,35,6,10,0.000200
8,16,28,33,36,1,8,0.000200
8,11,13,41,50,5,9,0.000200
13,19,20,33,41,4,10,0.000200
1,27,28,36,44,9,10,0.000200
18,26,34,42,47,2,9,0.000200
23,24,27,30,34,1,8,0.000200
6,10,14,45,47,4,7,0.000200
13,14,42,47,50,5,8,0.000200
10,11,13,41,44,1,8,0.000200
1,15,28,30,31,1,4,0.000200
13,25,26,31,43,1,7,0.000200
5,17,19,38,49,2,3,0.000200
8,9,11,20,48,3,8,0.000200
2,16,22,25,37,3,6,0.000200
20,28,31,33,47,5,8,0.000200
10,18,31,47,49,7,9,0.000200
12,26,34,42,44,4,12,0.000200
16,30,31,33,42,1,10,0.000200
24,25,30,42,48,2,8,0.000200
2,11,20,47,49,6,8,0.000200
5,26,41,44,49,2,12,0.000200
18,29,33,39,44,6,9,0.000200
11,15,32,35,47,1,6,0.000200
4,16,20,29,34,2,5,0.000200
14,34,36,47,50,1,10,0.000200
4,26,40,41,42,1,10,0.000200
12,17,19,24,36,3,11,0.000200
4,6,14,31,42,8,10,0.000200
8,12,45,48,49,7,10,0.000200
6,9,31,34,39,7,11,0.000200
8,11,38,47,49,2,5,0.000200
11,20,24,36,43,5,10,0.000200
26,35,42,44,48,1,8,0.000200
4,13,30,38,46,6,8,0.000200
8,16,17,38,49,4,8,0.000200
14,19,20,37,38,5,12,0.000200
17,20,30,38,39,3,5,0.000200
15,16,18,19,50,3,9,0.000200
1,7,10,20,49,6,9,0.000200
13,17,18,25,45,3,4,0.000200
11,14,22,24,32,1,7,0.000200
30,34,35,36,46,9,12,0.000200
7,8,17,23,48,2,9,0.000200
12,35,39,41,45,7,11,0.000200
1,10,12,23,49,5,10,0.000200
12,13,17,33,45,4,9,0.000200
2,10,25,35,46,6,8,0.000200
17,24,27,42,50,1,3,0.000200
12,14,21,29,41,2,11,0.000200
15,22,23,30,39,6,8,0.000200
11,29,37,39,42,5,8,0.000200
12,25,34,37,44,6,7,0.000200
9,17,19,41,48,6,7,0.000200
10,11,19,40,47,8,11,0.000200
3,11,17,24,50,1,11,0.000200
1,34,39,41,45,2,8,0.000200
6,25,34,39,42,5,11,0.000200
3,5,20,27,33,10,11,0.000200
13,14,25,40,43,5,6,0.000200
8,33,37,40,50,3,11,0.000200
20,30,42,44,46,1,2,0.000200
2,9,16,32,39,7,11,0.000200
20,24,27,48,50,2,3,0.000200
4,27,28,39,49,1,5,0.000200
11,19,24,28,33,4,7,0.000200
11,30,39,44,50,5,10,0.000200
7,8,19,29,41,5,10,0.000200
1,3,15,29,46,8,12,0.000200
5,8,16,22,40,8,9,0.000200
22,23,30,42,47,3,6,0.000200
17,23,36,43,50,1,7,0.000200
29,36,39,42,50,3,6,0.000200
3,4,14,22,48,4,5,0.000200
9,16,32,48,49,5,11,0.000200
35,40,42,48,50,3,6,0.000200
11,36,38,39,47,6,8,0.000200
8,22,26,29,31,2,3,0.000200
3,10,23,25,35,9,12,0.000200
3,30,35,37,43,7,8,0.000200
2,6,29,37,40,2,9,0.000200
21,23,27,32,49,10,11,0.000200
10,13,25,31,33,4,6,0.000200
14,19,27,31,36,1,10,0.000200
9,13,24,25,32,5,12,0.000200
13,18,25,31,40,2,8,0.000200
3,11,38,42,44,8,9,0.000200
1,7,30,42,48,1,7,0.000200
1,5,9,27,41,3,6,0.000200
11,13,46,49,50,2,7,0.000200
11,21,32,44,45,4,9,0.000200
25,26,32,34,50,9,10,0.000200
6,10,11,25,27,8,10,0.000200
4,38,40,41,48,1,9,0.000200
34,38,41,42,47,2,6,0.000200
1,24,32,42,46,3,4,0.000200
7,17,25,29,32,2,3,0.000200
4,8,23,44,50,4,11,0.000200
4,19,23,28,33,4,9,0.000200
16,29,30,36,48,4,9,0.000200
18,25,32,38,45,6,7,0.000200
7,26,31,40,45,3,7,0.000200
20,36,42,47,50,3,7,0.000200
4,17,37,43,49,5,12,0.000200
18,37,43,46,47,5,11,0.000200
6,12,14,21,31,6,10,0.000200
3,13,15,19,26,1,5,0.000200
7,21,27,30,44,4,8,0.000200
8,27,31,32,40,3,5,0.000200
2,26,44,46,49,5,10,0.000200
6,28,29,36,49,2,3,0.000200
5,14,25,28,42,1,11,0.000200
3,7,27,30,50,7,8,0.000200
8,10,17,25,45,2,4,0.000200
14,15,27,45,50,1,2,0.000200
21,24,32,33,34,4,12,0.000200
12,20,22,26,33,5,7,0.000200
5,7,20,43,44,2,6,0.000200
20,32,33,44,45,4,12,0.000200
2,11,37,45,48,1,9,0.000200
22,27,39,41,45,4,12,0.000200
2,15,28,30,50,5,9,0.000200
12,39,44,45,46,5,6,0.000200
8,20,24,43,50,7,10,0.000200
4,15,31,39,44,3,5,0.000200
17,23,31,37,45,5,12,0.000200
3,15,16,26,47,5,7,0.000200
19,34,39,41,48,6,10,0.000200
15,17,32,43,45,4,11,0.000200
8,9,11,42,44,2,3,0.000200
3,15,17,18,19,1,2,0.000200
7,17,20,37,46,7,9,0.000200
12,21,26,36,38,5,9,0.000200
8,18,26,29,50,4,5,0.000200
9,12,15,27,34,3,10,0.000200
4,35,36,37,46,5,11,0.000200
21,28,31,34,48,2,3,0.000200
9,15,33,48,49,2,11,0.000200
11,12,13,40,43,2,3,0.000200
6,18,39,40,50,3,9,0.000200
9,15,21,23,26,7,8,0.000200
2,3,19,29,47,2,7,0.000200
24,26,28,30,49,3,6,0.000200
16,27,31,32,41,4,7,0.000200
4,21,29,44,50,4,9,0.000200
3,19,20,31,49,2,6,0.000200
10,18,26,46,50,2,7,0.000200
7,31,35,42,43,8,10,0.000200
2,6,17,30,47,10,12,0.000200
7,19,28,29,30,6,12,0.000200
5,14,22,24,30,2,8,0.000200
1,5,20,21,33,1,7,0.000200
9,10,12,22,42,2,6,0.000200
9,13,14,37,39,7,9,0.000200
1,27,30,40,41,2,7,0.000200
15,22,24,46,47,2,5,0.000200
8,13,19,26,30,8,10,0.000200
11,14,22,27,38,5,12,0.000200
4,17,20,29,30,6,8,0.000200
2,9,19,32,33,1,3,0.000200
6,8,13,27,29,7,11,0.000200
6,7,12,24,25,8,11,0.000200
2,10,16,25,33,4,9,0.000200
4,10,11,35,41,3,8,0.000200
1,2,3,22,36,4,11,0.000200
4,6,9,18,49,3,5,0.000200
2,6,33,40,41,3,5,0.000200
2,12,14,28,39,4,6,0.000200
1,5,16,28,33,3,5,0.000200
12,14,17,40,41,2,9,0.000200
9,20,22,24,35,6,8,0.000200
14,21,30,34,44,2,4,0.000200
2,9,14,19,50,1,8,0.000200
11,34,37,41,45,3,7,0.000200
16,29,44,48,49,4,5,0.000200
10,12,25,32,44,10,11,0.000200
19,23,33,36,48,3,8,0.000200
15,32,40,46,48,2,8,0.000200
2,10,38,39,42,9,12,0.000200
17,24,30,35,41,4,9,0.000200
18,28,29,32,42,2,10,0.000200
1,8,26,33,37,4,9,0.000200
1,18,26,27,40,1,5,0.000200
9,19,23,26,47,9,10,0.000200
10,14,17,29,37,6,8,0.000200
5,17,22,24,49,5,9,0.000200
1,7,16,30,44,9,10,0.000200
12,29,31,32,48,3,7,0.000200
4,14,16,22,24,5,8,0.000200
3,19,20,23,46,6,12,0.000200
12,24,29,37,48,1,10,0.000200
2,9,10,20,27,9,11,0.000200
21,22,29,31,50,2,3,0.000200
6,7,16,22,32,2,6,0.000200
9,18,24,27,43,1,3,0.000200
2,3,31,37,45,7,11,0.000200
9,18,30,37,47,8,11,0.000200
8,10,21,23,24,2,5,0.000200
10,23,31,42,47,1,5,0.000200
1,14,17,43,47,4,8,0.000200
8,16,21,33,47,6,8,0.000200
14,19,29,47,48,10,12,0.000200
1,14,23,41,50,6,7,0.000200
9,32,35,36,47,8,9,0.000200
1,5,11,36,47,3,11,0.000200
2,9,16,39,49,2,12,0.000200
3,13,19,24,46,3,6,0.000200
8,17,21,29,41,4,7,0.000200
15,19,24,29,42,4,5,0.000200
2,10,13,24,40,1,2,0.000200
16,21,24,26,31,3,10,0.000200
2,12,16,30,45,5,10,0.000200
